id;line_1;line_2;country;state;city;pincode
1;mud;disestablish whereas;Cape Verde;leaf morsel;Coconut Creek;22348
2;considering qua about;zowie;Falkland Islands (Malvinas);whistle acidic;Korbinfort;25692
3;bob espadrille;wherever;Seychelles;if consequently;Talonport;14198
4;vaguely special if;masculine terminal finally;Cambodia;set;Fort Brianstead;32626
5;pseudoscience a;yippee instead;Solomon Islands;gadzooks chard whenever;Candidoview;4511
6;sizzling;jaggedly blah whenever;Somalia;only stitch once;Port Shyann;18360
7;across focalise precious;including;Nepal;terrible swiftly from;West Hulda;6787
8;carol modulo uh-huh;adolescent flu jaggedly;Thailand;disillusion buckle accordance;Logan;7362
9;combat shroom;animated;Gabon;pointless kindly usually;Moisesfurt;26765
10;advanced discipline functional;excitedly pfft vaguely;Russian Federation;towards boo;New Britain;21193
